,TRADING_DAY,CLIENT_ID,CLIENT_NAME,EXCHANGE,EXCHANGE_ID,HOLD_ASSET,PRODUCT,DELIVERY_DAY,CURRENCY,NET_POSITION,LONG_POS,AVG_BUY_PRICE,SHORT_POS,AVG_SELL_PRICE,BUY_CHANGE,SELL_CHANGE,FUND_AVAIL,S_H,SETTLEMENT_PRICE,MARGIN,MTM_P_L,ACCUM_P_L,BUY_VOLUME,SELL_VOLUME,FEE,PAY_FEE,DAY_P_L,EXCHANGE_MARGIN,REALIZED_MTM_P_L,REALIZED_ACCUM_P_L,BOOK_VALUE,MARKET_VALUE_LONG,MARKET_VALUE_SHORT,NOTIONAL_VALUE,PREMIUM_PRICE,DIRECTION,LOTS
0,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1801,豆粕,1801,人民币,1266.0,1266.0,2782.151,0.0,0.0,-15.0,0.0,21382205.21,投,2751.0,3134489.4,-195500.0,-394370.0,260.0,275.0,803.16,802.5,-246170.0,3134489.4,-50670.0,-80660.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1805,豆粕,1805,人民币,553.0,553.0,2690.678,0.0,0.0,-51.0,0.0,21382205.21,投,2702.0,1344785.4,-90810.0,62610.0,12.0,63.0,112.6,112.5,-110260.0,1344785.4,-19450.0,18090.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1809,豆粕,1809,人民币,438.0,438.0,2733.856,0.0,0.0,35.0,0.0,21382205.21,投,2728.0,1075377.6,-65520.0,-25650.0,35.0,0.0,52.53,52.5,-65520.0,1075377.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2400,豆粕期货期权,1711,人民币,10.0,10.0,410.0,0.0,0.0,10.0,0.0,21382205.21,投,400.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2800.0,40000.0,0.0,278900.0,40000.0,0,10
4,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2550,豆粕期货期权,1711,人民币,20.0,20.0,254.7,0.0,0.0,20.0,0.0,21382205.21,投,250.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,2800.0,50000.0,0.0,557800.0,50000.0,0,20
5,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2600,豆粕期货期权,1711,人民币,30.0,40.0,234.85,10.0,152.0,20.0,0.0,21382205.21,投,200.0,45200.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,45200.0,0.0,0.0,2800.0,80000.0,20000.0,1115600.0,80000.0,0,40
6,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2650,豆粕期货期权,1711,人民币,10.0,20.0,237.75,10.0,114.5,0.0,0.0,21382205.21,投,150.0,40200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40200.0,0.0,0.0,2800.0,30000.0,15000.0,557800.0,30000.0,0,20
7,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2700,豆粕期货期权,1711,人民币,-32.0,30.0,62.833,62.0,78.952,0.0,20.0,21382205.21,投,101.5,219170.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,219170.0,0.0,0.0,2800.0,30450.0,62930.0,836700.0,30450.0,0,30
8,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2750,豆粕期货期权,1711,人民币,-20.0,30.0,53.45,50.0,50.6,-10.0,20.0,21382205.21,投,58.0,155000.0,0.0,0.0,10.0,40.0,50.0,50.0,0.0,155000.0,0.0,0.0,2800.0,17400.0,29000.0,836700.0,17400.0,0,30
9,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2800,豆粕期货期权,1711,人民币,-10.0,30.0,40.0,40.0,20.625,-10.0,10.0,21382205.21,投,26.0,111200.0,0.0,0.0,10.0,30.0,40.0,40.0,0.0,111200.0,0.0,0.0,2800.0,7800.0,10400.0,836700.0,7800.0,0,30
10,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2850,豆粕期货期权,1711,人民币,0.0,30.0,132.667,30.0,21.567,0.0,-16.0,21382205.21,投,8.5,70650.0,0.0,0.0,16.0,0.0,16.0,16.0,0.0,70650.0,0.0,0.0,2800.0,2550.0,2550.0,836700.0,2550.0,0,30
11,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2900,豆粕期货期权,1711,人民币,-19.0,30.0,101.5,49.0,48.327,0.0,0.0,21382205.21,投,2.0,99960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99960.0,0.0,0.0,2800.0,600.0,980.0,836700.0,600.0,0,30
12,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-2950,豆粕期货期权,1711,人民币,-19.0,30.0,97.833,49.0,49.327,0.0,0.0,21382205.21,投,0.5,86975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86975.0,0.0,0.0,2800.0,150.0,245.0,836700.0,150.0,0,30
13,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-3000,豆粕期货期权,1711,人民币,9.0,40.0,42.0,31.0,39.032,10.0,0.0,21382205.21,投,0.5,47275.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,47275.0,0.0,0.0,2800.0,200.0,155.0,1115600.0,200.0,0,40
14,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-3050,豆粕期货期权,1711,人民币,-11.0,29.0,55.138,40.0,33.25,0.0,0.0,21382205.21,投,0.5,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,0.0,0.0,2800.0,145.0,200.0,808810.0,145.0,0,29
15,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-3100,豆粕期货期权,1711,人民币,24.0,40.0,17.25,16.0,40.281,0.0,0.0,21382205.21,投,0.5,20240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20240.0,0.0,0.0,2800.0,200.0,80.0,1115600.0,200.0,0,40
16,2017-09-29,100109999,做市商-中信中证资本,大商所,DCE,m1711-C-3150,豆粕期货期权,1711,人民币,40.0,40.0,4.25,0.0,0.0,0.0,0.0,21382205.21,投,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,200.0,0.0,1115600.0,200.0,0,40
